;x;Species_Name;Family;Subfamily;Tribe;Genus;Species;Antena
49;Psilolomia_brunneofusca_CMF_0803;Psilolomia_brunneofusca;Coreidae;Pseudophloeinae;Pseudophloeini;Psilolomia;brunneofusca;1
50;Psilolomia_parva_CMF_0871;Psilolomia_parva;Coreidae;Pseudophloeinae;Pseudophloeini;Psilolomia;parva;2
51;Mevanidea_hystrix_CMF_1088;Mevanidea_hystrix;Coreidae;Pseudophloeinae;Pseudophloeini;Mevanidea;hystrix;2
52;Mevanidea_spiniceps_CMF_0950_0953;Mevanidea_spiniceps;Coreidae;Pseudophloeinae;Pseudophloeini;Mevanidea;spiniceps;0
53;Paramyla_suspecta_CMF_0807;Paramyla_suspecta;Coreidae;Pseudophloeinae;Pseudophloeini;Paramyla;suspecta;0
54;Myla_sp_CMF_0091;Myla_sp.;Coreidae;Pseudophloeinae;Pseudophloeini;Myla;sp.;2
55;Vilga_dallasi_CMF_1047;Vilga_dallasi;Coreidae;Pseudophloeinae;Pseudophloeini;Vilga;dallasi;2
56;Vilga_sanctipauli_CMF_1048;Vilga_sanctipauli;Coreidae;Pseudophloeinae;Pseudophloeini;Vilga;sanctipauli;0
57;Vilga_westwoodi_CMF_1050;Vilga_westwoodi;Coreidae;Pseudophloeinae;Pseudophloeini;Vilga;westwoodi;2
58;Clavigralla_elongata_CMF_0944;Clavigralla_elongata;Coreidae;Pseudophloeinae;Clavigrallini;Clavigralla;elongata;2
59;Clavigralla_minor_CMF_0334;Clavigralla_minor;Coreidae;Pseudophloeinae;Clavigrallini;Clavigralla;minor;0
60;Clavigralla_shadabi_CMF_0056;Clavigralla_pusilla;Coreidae;Pseudophloeinae;Clavigrallini;Clavigralla;pusilla;2
61;Clavigralla_pusilla_CMF_0952_0960;Clavigralla_shadabi;Coreidae;Pseudophloeinae;Clavigrallini;Clavigralla;shadabi;2
62;Clavigralla_sp_CMF_0335;Clavigralla_sp.;Coreidae;Pseudophloeinae;Clavigrallini;Clavigralla;sp.;0
63;Clavigralloides_acantharis_CMF_0797;Clavigralloides_acantharis;Coreidae;Pseudophloeinae;Clavigrallini;Clavigralloides;acantharis;2
64;Gralliclava_horrens_CMF_1165;Gralliclava_horrens;Coreidae;Pseudophloeinae;Clavigrallini;Gralliclava;horrens;2
65;Gralliclava_sp_CMF_0745;Gralliclava_sp.;Coreidae;Pseudophloeinae;Clavigrallini;Gralliclava;sp.;0
66;Leptocorisa_acuta_CMF_0645;Leptocorisa_acuta;Alydidae;Micrelytrinae;Leptocorisini;Leptocorisa;acuta;1
67;Leptocorisa_bipunctata_CMF_0896;Leptocorisa_bipunctata;Alydidae;Micrelytrinae;Leptocorisini;Leptocorisa;bipunctata;1
68;Stenocoris_filiformis_CMF_0758;Stenocoris_filiformis;Alydidae;Micrelytrinae;Leptocorisini;Stenocoris;filiformis;1
69;Stenocoris_furcifera_CMF_0879;Stenocoris_furcifera;Alydidae;Micrelytrinae;Leptocorisini;Stenocoris;furcifera;1
70;Stenocoris_sp_CMF_0315_STANDARD;Stenocoris_sp.;Alydidae;Micrelytrinae;Leptocorisini;Stenocoris;sp.;1
71;Stenocoris_tipuloides_CMF_0174;Stenocoris_tipuloides;Alydidae;Micrelytrinae;Leptocorisini;Stenocoris;tipuloides;1
72;Mutusca_brevicornis_CMF_0417;Mutusca_brevicornis;Alydidae;Micrelytrinae;Leptocorisini;Mutusca;brevicornis;1
73;Micrelytrinae_sp_CMF_0161_STANDARD;Darmistus_sp.;Alydidae;Micrelytrinae;Micrelytrini;Darmistus;sp.;1
74;Hydara_tenuicornis_CMF_0040;Hydara_tenuicornis;Coreidae;Hydarinae;;Hydara;tenuicornis;2
75;Hydarella_chiangdaoensis_CMF_1129;Hydarella_chiangdaoensis;Coreidae;Hydarinae;;Hydarella;chiangdaoensis;2
76;Hydaropsis_longirostris_CMF_0817;Hydaropsis_longirostris;Coreidae;Hydarinae;;Hydaropsis;longirostris;2
77;Madura_fuscoclavata_CMF_1078;Madura_fuscoclavata;Coreidae;Hydarinae;;Madura;fuscoclavata;3
78;Maduranoides_chemsaki_CMF_1017;Maduranoides_chemsaki;Coreidae;Hydarinae;;Maduranoides;chemsaki;3
79;Halyomorpha_halys_halhal1;Halyomorpha_halys;Pentatomidae;Pentatominae;Cappaeini;Halyomorpha;halys;1
80;Dysdercus_suturellus_CMF_0305;Dysdercus_mimus;Pyrrhocoridae;;;Dysdercus;mimus;1
81;Dysdercus_mimus_CMF_0110;Dysdercus_suturellus;Pyrrhocoridae;;;Dysdercus;suturellus;1
82;Largus_sp_CMF_0230;Largus_sp.;Largidae;Larginae;Largini;Largus;sp.;1
83;Oncopeltus_fasciatus_oncfas1;Oncopeltus_fasciatus;Lygaeidae;Lygaeinae;Lygaeini;Oncopeltus;fasciatus;1
84;nr_Oedancala_sp_U23;Oedancala_sp.;Pachygronthidae;Pachygronthinae;Pachygronthini;Oedancala;sp.;2
85;Harmostes_serratus_CMF_0401;Harmostes_serratus;Rhopalidae;Rhopalinae;Harmostini;Harmostes;serratus;2
86;Jadera_haematoloma_CMF_0281;Jadera_haematoloma;Rhopalidae;Serinethinae;;Jadera;haematoloma;1
87;Grammopoecilus_angustatus_CMF_0839;Grammopoecilus_angustatus;Coreidae;Coreinae;Nematopodini;Grammopoecilus;angustatus;1
88;Nematopus_lepidus_CMF_0071;Nematopus_lepidus;Coreidae;Coreinae;Nematopodini;Nematopus;lepidus;1
89;Lycambes_sargi_CMF_0049;Lycambes_sargi;Coreidae;Meropachyinae;Spathophorini;Lycambes;sargi;2
90;Mozena_lineolata_CMF_0026;Mozena_lineolata (lunata);Coreidae;Coreinae;Nematopodini;Mozena;lineolata (lunata);1
91;Mozena_lurida_CMF_0050;Mozena_lurida;Coreidae;Coreinae;Nematopodini;Mozena;lurida;1
92;Piezogaster_calcarator_CMF_0877;Piezogaster_calcarator;Coreidae;Coreinae;Nematopodini;Piezogaster;calcarator;1
93;Ouranion_serrulatus_CMF_0337;Ouranion_serrulatus;Coreidae;Coreinae;Nematopodini;Ouranion;serrulatus;1
94;Melucha_quadrivittis_CMF_0157;Melucha_quadrivittis;Coreidae;Coreinae;Nematopodini;Melucha;quadrivittis;1
95;Thasus_neocalifornicus_CMF_0190;Thasus_neocalifornicus;Coreidae;Coreinae;Nematopodini;Thasus;neocalifornicus;3
96;Thasus_sp_CMF_0292;Thasus_sp.;Coreidae;Coreinae;Nematopodini;Thasus;sp.;3
97;Agriopocoris_chadwicki_CMF_1143;Agriopocoris_chadwicki;Coreidae;Coreinae;Agriopocorini;Agriopocoris;chadwicki;1
98;Agriopocoris_froggatti_CMF_1144;Agriopocoris_froggatti;Coreidae;Coreinae;Agriopocorini;Agriopocoris;froggatti;1
99;Agriopocostella_regulosa_CMF_1154;Agriopocostella_regulosa;Coreidae;Coreinae;Agriopocorini;Agriopocostella;regulosa;0
100;Tylocryptus_egenus_CMF_1142;Tylocryptus_egenus;Coreidae;Coreinae;Agriopocorini;Tylocryptus;egenus;2
101;Hygia_sp_CMF_0809;Hygia_sp.;Coreidae;Coreinae;Colpurini;Hygia;sp.;2
102;Typhlocolpura_chinai_CMF_0006;Typhlocolpura_chinai;Coreidae;Coreinae;Colpurini;Typhlocolpura;chinai;1
103;Homalocolpura_parrilloi_CMF_0609;Homalocolpura_parrilloi;Coreidae;Coreinae;Colpurini;Homalocolpura;parrilloi;0
104;Amorbus_alternatus_CMF_1086;Amorbus_alternatus;Coreidae;Coreinae;Amorbini;Amorbus;alternatus;1
105;Mirabilamorbus_n_sp_CMF_1149;Mirabilamorbus_sp.;Coreidae;Coreinae;Amorbini;Mirabilamorbus;sp.;2
106;Gelonus_tasmanicus_CMF_1152;Gelonus_tasmanicus;Coreidae;Coreinae;Amorbini;Gelonus;tasmanicus;1
107;Anoplocnemis_curvipes_CMF_0332;Anoplocnemis_curvipes;Coreidae;Coreinae;Mictini;Anoplocnemis;curvipes;1
108;Anoplocnemis_phasiana_CMF_0761;Anoplocnemis_phasiana;Coreidae;Coreinae;Mictini;Anoplocnemis;phasiana;1
109;Anoplocnemis_sp_CMF_0020;Anoplocnemis_sp.1;Coreidae;Coreinae;Mictini;Anoplocnemis;sp.1;0
110;Anoplocnemis_sp_CMF_0052;Anoplocnemis_sp.2;Coreidae;Coreinae;Mictini;Anoplocnemis;sp.2;0
111;Elasmopoda_sp_CMF_0333;Elasmopoda_alata;Coreidae;Coreinae;Mictini;Elasmopoda;alata;1
112;Elasmopoda_alata_CMF_0675;Elasmopoda_sp.;Coreidae;Coreinae;Mictini;Elasmopoda;sp.;0
113;Plectropoda_cruciata_CMF_0037;Plectropoda_cruciata;Coreidae;Coreinae;Mictini;Plectropoda;cruciata;0
114;Plectropoda_sp_CMF_0022;Plectropoda_sp.;Coreidae;Coreinae;Mictini;Plectropoda;sp.;1
115;Mygdonia_tuberculosa_CMF_0053;Mygdonia_tuberculosa;Coreidae;Coreinae;Mictini;Mygdonia;tuberculosa;1
116;Plectropodoides_dallastai_CMF_0854;Plectropodoides_dallastai;Coreidae;Coreinae;Mictini;Plectropodoides;dallastai;0
117;Dianomictis_expansa_CMF_0684;Dianomictis_expansa;Coreidae;Coreinae;Mictini;Dianomictis;expansa;1
118;Molipteryx_lunata_CMF_0818;Molipteryx_lunata;Coreidae;Coreinae;Mictini;Molipteryx;lunata;1
119;Prionolomia_yunnanensis_CMF_0554;Prionolomia_yunnanensis;Coreidae;Coreinae;Mictini;Prionolomia;yunnanensis;0
120;Mictis_longicornis_CMF_0184;Mictis_longicornis;Coreidae;Coreinae;Mictini;Mictis;longicornis;1
121;Pternistria_bispina_CMF_0698;Pternistria_bispina;Coreidae;Coreinae;Mictini;Pternistria;bispina;1
122;Mictis_profana_CMF_0412;Mictis_profana;Coreidae;Coreinae;Mictini;Mictis;profana;1
123;Cloresmus_antennatus_CMF_0634;Cloresmus_antennatus;Coreidae;Coreinae;Cloresmini;Cloresmus;antennatus;1
124;Cloresmus_sp_CMF_0743;Cloresmus_sp.;Coreidae;Coreinae;Cloresmini;Cloresmus;sp.;1
125;Notobitus_nr_affinis_CMF_0530;Notobitus_affinis;Coreidae;Coreinae;Cloresmini;Notobitus;affinis;0
126;Notobitus_sexguttatus_CMF_0747;Notobitus_sexguttatus;Coreidae;Coreinae;Cloresmini;Notobitus;sexguttatus;1
127;Notobitus_meleagris_CMF_0529;Notobitus_meleagris;Coreidae;Coreinae;Cloresmini;Notobitus;meleagris;1
128;Dalader_planiventris_CMF_0737;Dalader_planiventris;Coreidae;Coreinae;Daladerini;Dalader;planiventris;3
129;Latimbus_concolor_CMF_0827;Latimbus_concolor;Coreidae;Coreinae;Latimbini;Latimbus;concolor;1
130;Latimbus_refulgens_CMF_0650;Latimbus_refulgens;Coreidae;Coreinae;Latimbini;Latimbus;refulgens;0
131;Odontocurtus_consociatus_CMF_0694;Odontocurtus_consociatus;Coreidae;Coreinae;Daladerini;Odontocurtus;consociatus;0
132;Odontorhopala_callosa_CMF_0697;Odontorhopala_callosa;Coreidae;Coreinae;Daladerini;Odontorhopala;callosa;2
133;Cletoliturus_lituripennis_CMF_0709;Cletoliturus_lituripennis;Coreidae;Coreinae;Gonocerini;Cletoliturus;lituripennis;2
134;Cletomorpha_benita_CMF_0820;Cletomorpha_benita;Coreidae;Coreinae;Gonocerini;Cletomorpha;benita;2
135;Cletomorpha_nyasana_CMF_0748;Cletomorpha_nyasana;Coreidae;Coreinae;Gonocerini;Cletomorpha;nyasana;2
136;Cletus_binotulatus_CMF_0767;Cletus_binotulatus;Coreidae;Coreinae;Gonocerini;Cletus;binotulatus;2
137;Cletus_ochraceus_CMF_0152;Cletus_ochraceus;Coreidae;Coreinae;Gonocerini;Cletus;ochraceus;2
138;Cletus_sp_CMF_0765;Cletus_sp.;Coreidae;Coreinae;Gonocerini;Cletus;sp.;2
139;Coreus_marginatus_CMF_0793;Coreus_marginatus;Coreidae;Coreinae;Coreini;Coreus;marginatus;1
140;Pephricus_paradoxus_CMF_0730;Pephricus_paradoxus;Coreidae;Coreinae;Phyllomorphini;Pephricus;paradoxus;2
141;Tongorma_latreillii_CMF_0735;Tongorma_latreillii;Coreidae;Coreinae;Phyllomorphini;Tongorma;latreillii;2
142;Haidara_producta_CMF_0824;Haidara_producta;Coreidae;Coreinae;Coreini;Haidara;producta;2
143;Prionotylus_brevicornis_CMF_0916;Prionotylus_brevicornis;Coreidae;Coreinae;Prionotylini;Prionotylus;brevicornis;2
144;Fracastorius_cornutus_CMF_0531;Fracastorius_cornutus;Coreidae;Coreinae;Homoeocerini;Fracastorius;cornutus;1
145;Homoeocerus_marginellus_CMF_0327;Homoeocerus_angulatus;Coreidae;Coreinae;Homoeocerini;Homoeocerus;angulatus;1
146;Homoeocerus_angulatus_CMF_0759;Homoeocerus_bipustulatus;Coreidae;Coreinae;Homoeocerini;Homoeocerus;bipustulatus;1
147;Homoeocerus_bipustulatus_CMF_0093;Homoeocerus_marginellus;Coreidae;Coreinae;Homoeocerini;Homoeocerus;marginellus;1
148;Prismatocerus_auriculatus_CMF_0734;Prismatocerus_auriculatus;Coreidae;Coreinae;Homoeocerini;Prismatocerus;auriculatus;1
149;Galaesus_hasticornis_CMF_0701;Galaesus_hasticornis;Coreidae;Coreinae;Dasynini;Galaesus;hasticornis;3
150;Manocoreus_yunnanensis_CMF_1133;Manocoreus_yunnanensis;Coreidae;Coreinae;Manocoreini;Manocoreus;yunnanensis;1
151;Althos_obscurator_CMF_0870;Althos_obscurator;Coreidae;Coreinae;Hypselonotini;Althos;obscurator;2
152;Vazquezitocoris_repletus_CMF_0851;Vazquezitocoris_repletus;Coreidae;Coreinae;Hypselonotini;Vazquezitocoris;repletus;2
153;Catorhintha_guttula_CMF_0102;Catorhintha_guttula;Coreidae;Coreinae;Hypselonotini;Catorhintha;guttula;1
154;Catorhintha_texana_CMF_0070;Catorhintha_texana;Coreidae;Coreinae;Hypselonotini;Catorhintha;texana;2
155;Scolopocerus_secundarius_CMF_0808;Scolopocerus_secundarius;Coreidae;Coreinae;Hypselonotini;Scolopocerus;secundarius;2
156;Villasitocoris_inconspicuus_CMF_0822;Villasitocoris_inconspicuus;Coreidae;Coreinae;Hypselonotini;Villasitocoris;inconspicuus;2
157;Athaumastus_subterlineatus_CMF_0528;Athaumastus_sp.;Coreidae;Coreinae;Acanthocerini;Athaumastus;sp.;2
158;Crinocerus_sanctus_CMF_0860;Crinocerus_sanctus;Coreidae;Coreinae;Acanthocerini;Crinocerus;sanctus;2
159;Euthochtha_galeator_CMF_0162;Euthochtha_galeator;Coreidae;Coreinae;Acanthocerini;Euthochtha;galeator;2
160;Acanthocerus_crucifer_CMF_0541;Acanthocerus_cruciger;Coreidae;Coreinae;Acanthocerini;Acanthocerus;cruciger;2
161;Camptischium_clavipes_CMF_0548;Camptischium_clavipes;Coreidae;Coreinae;Acanthocerini;Camptischium;clavipes;2
162;Zoreva_lacerna_CMF_0813;Zoreva_lacerna;Coreidae;Coreinae;Acanthocerini;Zoreva;lacerna;2
163;Zoreva_lobulata_CMF_0549;Zoreva_lobulata;Coreidae;Coreinae;Acanthocerini;Zoreva;lobulata;2
164;Chariesterus_antennator_CMF_0103;Chariesterus_antennator;Coreidae;Coreinae;Chariesterini;Chariesterus;antennator;3
165;Chariesterus_armatus_CMF_0744;Chariesterus_armatus;Coreidae;Coreinae;Chariesterini;Chariesterus;armatus;3
166;Plapigus_abdominalis_CMF_0002;Plapigus_abdominalis;Coreidae;Coreinae;Chariesterini;Plapigus;abdominalis;0
167;Hypselonotus_bitrianguliger_CMF_0073;Hypselonotus_bitrianguliger;Coreidae;Coreinae;Hypselonotini;Hypselonotus;bitrianguliger;1
168;Hypselonotus_fulvus_CMF_0145;Hypselonotus_fulvus;Coreidae;Coreinae;Hypselonotini;Hypselonotus;fulvus;1
169;Hypselonotus_lineatus_CMF_0027;Hypselonotus_lineatus;Coreidae;Coreinae;Hypselonotini;Hypselonotus;lineatus;1
170;Hypselonotus_punctiventris_CMF_0784;Hypselonotus_punctiventris;Coreidae;Coreinae;Hypselonotini;Hypselonotus;punctiventris;1
171;Merocoris_curtatus_CMF_0821;Merocoris_curtatus;Coreidae;Meropachyinae;Merocorini;Merocoris;curtatus;2
172;Merocoris_typhaeus_CMF_0523;Merocoris_elevatus;Coreidae;Meropachyinae;Merocorini;Merocoris;elevatus;2
173;Merocoris_elevatus_CMF_0736;Merocoris_typhaeus;Coreidae;Meropachyinae;Merocorini;Merocoris;typhaeus;2
174;Cebrenis_danieli_CMF_0158;Cebrenis_danieli;Coreidae;Coreinae;Hypselonotini;Cebrenis;danieli;2
175;Zicca_commaculata_CMF_0055;Zicca_commaculata;Coreidae;Coreinae;Hypselonotini;Zicca;commaculata;2
176;Zicca_rubricator_CMF_0135;Zicca_rubricator;Coreidae;Coreinae;Hypselonotini;Zicca;rubricator;2
177;Zicca_taeniola_CMF_0365;Zicca_taeniola;Coreidae;Coreinae;Hypselonotini;Zicca;taeniola;2
178;Leptoglossus_ashmeadi_CMF_0124;Leptoglossus_ashmeadi;Coreidae;Coreinae;Anisoscelini;Leptoglossus;ashmeadi;1
179;Leptoglossus_concolor_CMF_0015;Leptoglossus_concolor;Coreidae;Coreinae;Anisoscelini;Leptoglossus;concolor;1
180;Leptoglossus_clypealis_CMF_0463;Leptoglossus_clypealis;Coreidae;Coreinae;Anisoscelini;Leptoglossus;clypealis;1
181;Leptoglossus_oppositus_CMF_0475;Leptoglossus_oppositus;Coreidae;Coreinae;Anisoscelini;Leptoglossus;oppositus;1
182;Leptoglossus_zonatus_CMF_0148;Leptoglossus_zonatus;Coreidae;Coreinae;Anisoscelini;Leptoglossus;zonatus;1
183;Leptoglossus_phyllopus_CMF_0107;Leptoglossus_phyllopus;Coreidae;Coreinae;Anisoscelini;Leptoglossus;phyllopus;1
184;Leptoglossus_corculus_CMF_0785;Leptoglossus_corculus;Coreidae;Coreinae;Anisoscelini;Leptoglossus;corculus;1
185;Leptoglossus_fulvicornis_CMF_0762;Leptoglossus_fulvicornis;Coreidae;Coreinae;Anisoscelini;Leptoglossus;fulvicornis;1
186;Leptoglossus_gonagra_FL_CMF_0669;Leptoglossus_gonagra;Coreidae;Coreinae;Anisoscelini;Leptoglossus;gonagra;1
187;Phthiacnemia_picta_CMF_0350;Phthiacnemia_picta;Coreidae;Coreinae;Anisoscelini;Phthiacnemia;picta;1
188;Narnia_femorata_CMF_0111;Narnia_femorata;Coreidae;Coreinae;Anisoscelini;Narnia;femorata;2
189;Narnia_snowi_CMF_0208;Narnia_snowi;Coreidae;Coreinae;Anisoscelini;Narnia;snowi;2
190;Leptoscelis_quadrisignatus_CMF_0076;Leptoscelis_quadrisignatus;Coreidae;Coreinae;Anisoscelini;Leptoscelis;quadrisignatus;1
191;Leptoscelis_tricolor_CMF_0079;Leptoscelis_tricolor;Coreidae;Coreinae;Anisoscelini;Leptoscelis;tricolor;1
192;Anasa_andresii_CMF_0165;Anasa_andresii;Coreidae;Coreinae;Hypselonotini;Anasa;andresii;1
193;Anasa_tristis_CMF_0760;Anasa_tristis;Coreidae;Coreinae;Hypselonotini;Anasa;tristis;1
194;Paryphes_pulchellus_CMF_0858;Paryphes_pulchellus;Coreidae;Coreinae;Hypselonotini;Paryphes;pulchellus;0
195;Anasa_bellator_CMF_0316;Anasa_bellator;Coreidae;Coreinae;Hypselonotini;Anasa;bellator;1
196;Anasa_varicornis_CMF_0005;Anasa_varicornis;Coreidae;Coreinae;Hypselonotini;Anasa;varicornis;1
197;Anasa_scorbutica_CMF_0169;Anasa_scorbutica;Coreidae;Coreinae;Hypselonotini;Anasa;scorbutica;1
198;Anisoscelis_alipes_CMF_0018;Anisoscelis_alipes;Coreidae;Coreinae;Anisoscelini;Anisoscelis;alipes;1
199;Anisoscelis_gradadius_CMF_0137;Anisoscelis_gradadius;Coreidae;Coreinae;Anisoscelini;Anisoscelis;gradadius;1
200;Chondrocera_laticornis_CMF_0662;Chondrocera_laticornis;Coreidae;Coreinae;Anisoscelini;Chondrocera;laticornis;3
201;Holhymenia_sp_CMF_0051;Holhymenia_sp.;Coreidae;Coreinae;Anisoscelini;Holhymenia;sp.;3
202;Holhymenia_tibialis_CMF_0801;Holhymenia_tibialis / clavigera;Coreidae;Coreinae;Anisoscelini;Holhymenia;tibialis / clavigera;3
203;Chelinidea_tabulata_CMF_0233;Chelinidea_tabulata;Coreidae;Coreinae;Chelinideini;Chelinidea;tabulata;3
204;Chelinidea_vittiger_CMF_0220;Chelinidea_vittiger;Coreidae;Coreinae;Chelinideini;Chelinidea;vittiger;3
205;Plaxiscelis_limbata_CMF_0072;Plaxiscelis_limbata;Coreidae;Coreinae;Placoscelini;Plaxiscelis;limbata;1
206;Stenoeurilla_aenescens_CMF_0083;Stenoeurilla_aenescens;Coreidae;Coreinae;Placoscelini;Stenoeurilla;aenescens;1
207;Stenoeurilla_mesoamericana_CMF_0402;Stenoeurilla_mesoamericana;Coreidae;Coreinae;Placoscelini;Stenoeurilla;mesoamericana;1
208;Laminiceps_vergarae_CMF_0800;Laminiceps_vergarae;Coreidae;Coreinae;Acanthocephalini;Laminiceps;vergarae;1
209;Petalops_distinctus_CMF_0810;Petalops_distinctus;Coreidae;Coreinae;Acanthocephalini;Petalops;distinctus;1
210;Stenometapodus_ambiguus_CMF_0845;Stenometapodus_ambiguus;Coreidae;Coreinae;Acanthocephalini;Stenometapodus;ambiguus;1
